"","x","error_rate_mean","average_quality_mean","percent_mapped_mean","percent_peptides_detected_mean","percent_peptides_between_10_and_100_mean","error_rate_median","average_quality_median","percent_mapped_median","percent_peptides_detected_median","percent_peptides_between_10_and_100_median","error_rate_sd","average_quality_sd","percent_mapped_sd","percent_peptides_detected_sd","percent_peptides_between_10_and_100_sd"
"46","trim50.25_n3_rd0_pep50_",0.0022851075,35.4125,80.0808859631957,55.6659675495295,23.2598415681015,0.0020943405,35.4,87.07271902927,71.5395650919638,26.6620925173675,0.00059423773589941,0.0640869944461665,20.4525034976457,35.0140653319044,19.0120875245377
"47","trim50.25_n3_rd50_pep168_",0.0022851075,35.4125,80.0808859631957,55.6659675495295,23.2598415681015,0.0020943405,35.4,87.07271902927,71.5395650919638,26.6620925173675,0.00059423773589941,0.0640869944461665,20.4525034976457,35.0140653319044,19.0120875245377
"48","trim50.25_n3_rd50_pep50_",0.0022851075,35.4125,80.0808859631957,55.6659675495295,23.2598415681015,0.0020943405,35.4,87.07271902927,71.5395650919638,26.6620925173675,0.00059423773589941,0.0640869944461665,20.4525034976457,35.0140653319044,19.0120875245377
"49","trim50.5_n2_rd0_pep168_",0.00191219675,35.4125,72.3741044534554,53.1765322750415,21.5245561645758,0.0017845985,35.4,78.2772427816328,67.7358740653532,24.8356814832719,0.000426667878797471,0.0619139187366899,17.374701404871,32.6497672381801,16.9776962138368
"50","trim50.5_n2_rd0_pep50_",0.00191219675,35.4125,72.3741044534554,53.1765322750415,21.5245561645758,0.0017845985,35.4,78.2772427816328,67.7358740653532,24.8356814832719,0.000426667878797471,0.0619139187366899,17.374701404871,32.6497672381801,16.9776962138368
"51","trim50.5_n2_rd50_pep168_",0.00191219675,35.4125,72.3741044534554,53.1765322750415,21.5245561645758,0.0017845985,35.4,78.2772427816328,67.7358740653532,24.8356814832719,0.000441643212653689,0.0640869944461665,17.9845245650381,33.7957198374186,17.5735851512187
"52","trim50.5_n2_rd50_pep50_",0.00191219675,35.4125,72.3741044534554,53.1765322750415,21.5245561645758,0.0017845985,35.4,78.2772427816328,67.7358740653532,24.8356814832719,0.000426667878797471,0.0619139187366899,17.374701404871,32.6497672381801,16.9776962138368
"53","trim50.5_n3_rd0_pep168_",0.0019726305,35.4125,72.4257496334722,53.1940751771833,21.5318657071349,0.0018232125,35.4,78.3262879551963,67.749128702527,24.8450376977475,0.000505182220238259,0.0640869944461665,17.966851186543,33.7875151108625,17.5770171211727
"54","trim50.5_n3_rd0_pep50_",0.0019726305,35.4125,72.4257496334722,53.1940751771833,21.5318657071349,0.0018232125,35.4,78.3262879551963,67.749128702527,24.8450376977475,0.000505182220238259,0.0640869944461665,17.966851186543,33.7875151108625,17.5770171211727
"55","trim50.5_n3_rd50_pep168_",0.0019726305,35.4125,72.4257496334722,53.1940751771833,21.5318657071349,0.0018232125,35.4,78.3262879551963,67.749128702527,24.8450376977475,0.000505182220238259,0.0640869944461665,17.966851186543,33.7875151108625,17.5770171211727
"56","trim50.5_n3_rd50_pep50_",0.0019726305,35.4125,72.4257496334722,53.1940751771833,21.5318657071349,0.0018232125,35.4,78.3262879551963,67.749128702527,24.8450376977475,0.000505182220238259,0.0640869944461665,17.966851186543,33.7875151108625,17.5770171211727
"57","trim75.0_n2_rd0_pep168_",0.0019372385,35.025,51.0804029729696,43.0185097109709,16.0343100181667,0.001802748,35,55.3701480776468,53.7697747491365,18.3101117287945,0.000430193466596799,0.0886405260427931,12.6358565412371,28.0556236349361,13.0097323095467
"58","trim75.0_n2_rd0_pep50_",0.00199376325,35.025,51.1308273588087,43.0304973607678,16.0423992452654,0.0018297185,35,55.4064875382435,53.7795208058819,18.3257054195872,0.000508972120854164,0.0886405260427931,12.607178767897,28.0529746556227,13.0142999468346
"59","trim75.0_n2_rd50_pep168_",0.0019372385,35.025,51.0804029729696,43.0185097109709,16.0343100181667,0.001802748,35,55.3701480776468,53.7697747491365,18.3101117287945,0.000430193466596799,0.0886405260427931,12.6358565412371,28.0556236349361,13.0097323095467
"60","trim75.0_n2_rd50_pep50_",0.00199376325,35.025,51.1308273588087,43.0304973607678,16.0423992452654,0.0018297185,35,55.4064875382435,53.7795208058819,18.3257054195872,0.000508972120854164,0.0886405260427931,12.607178767897,28.0529746556227,13.0142999468346
"61","trim75.0_n3_rd0_pep168_",0.00202781375,35.025,51.1687294495321,43.06870190321,16.0499037089594,0.0018567005,35,55.4455974900847,53.8099285029277,18.3331124227138,0.000538666628155843,0.0886405260427931,12.5972061990585,28.0547798633869,13.0165232525887
"62","trim75.0_n3_rd0_pep50_",0.002039435625,35.025,51.1770835412756,43.0701638117218,16.0509757752014,0.001863411,35,55.4526035224215,53.8107081874674,18.3354514763327,0.000551921232175373,0.0886405260427931,12.5941467007191,28.0544585039255,13.017504351627
"63","trim75.0_n3_rd50_pep168_",0.00202781375,35.025,51.1687294495321,43.06870190321,16.0499037089594,0.0018567005,35,55.4455974900847,53.8099285029277,18.3331124227138,0.000538666628155843,0.0886405260427931,12.5972061990585,28.0547798633869,13.0165232525887
"64","trim75.0_n3_rd50_pep50_",0.002039435625,35.025,51.1770835412756,43.0701638117218,16.0509757752014,0.001863411,35,55.4526035224215,53.8107081874674,18.3354514763327,0.000551921232175373,0.0886405260427931,12.5941467007191,28.0544585039255,13.017504351627
"65","trim75.10_n2_rd0_pep168_",0.001829351625,35.3125,66.6007956917404,51.4005083543198,20.1807698605144,0.0016629505,35.3,71.3909507401246,65.1208121194165,23.1375285559463,0.000513007938146307,0.0640869944461647,16.4625295888484,33.0277171887574,16.4608828906675
"66","trim75.10_n2_rd0_pep50_",0.001867361375,35.3125,66.6395871585535,51.4072331334742,20.1857403494546,0.001680771,35.3,71.4179877889917,65.1286089648128,23.1457152436124,0.00056501403172385,0.0640869944461647,16.4419730683121,33.0258981588621,16.4629153395777
"67","trim75.10_n2_rd50_pep168_",0.001829351625,35.3125,66.6007956917404,51.4005083543198,20.1807698605144,0.0016629505,35.3,71.3909507401246,65.1208121194165,23.1375285559463,0.000513007938146307,0.0640869944461647,16.4625295888484,33.0277171887574,16.4608828906675
"68","trim75.10_n2_rd50_pep50_",0.001867361375,35.3125,66.6395871585535,51.4072331334742,20.1857403494546,0.001680771,35.3,71.4179877889917,65.1286089648128,23.1457152436124,0.00056501403172385,0.0640869944461647,16.4419730683121,33.0258981588621,16.4629153395777
"69","trim75.10_n3_rd0_pep168_",0.001915328125,35.3125,66.6923522530458,51.4273100103698,20.1936346554184,0.0017081345,35.3,71.4617004962157,65.1442026556055,23.1581901962466,0.000625648313960906,0.0640869944461647,16.4143073930725,33.0183525258057,16.4658864977278
"70","trim75.10_n3_rd0_pep50_",0.0019242335,35.3125,66.6993899038091,51.4284795371793,20.1944143399581,0.001712498,35.3,71.4669834141673,65.1457620246848,23.1589698807862,0.000637201926740653,0.0640869944461647,16.4106502651693,33.0181045455372,16.4664093660445
"71","trim75.10_n3_rd50_pep50_",0.0019242335,35.3125,66.6993899038091,51.4284795371793,20.1944143399581,0.001712498,35.3,71.4669834141673,65.1457620246848,23.1589698807862,0.000637201926740653,0.0640869944461647,16.4106502651693,33.0181045455372,16.4664093660445
"72","trim75.5_n2_rd0_pep168_",0.001798778,35.325,65.0673248922244,50.6622445558527,19.7344004615732,0.001645221,35.3,69.6489183619497,64.0733059404165,22.6599717754197,0.000468020908314087,0.0886405260427917,16.0574473506583,32.5844584641223,16.0544053805757
"73","trim75.5_n2_rd0_pep50_",0.001846299625,35.325,65.1175052239454,50.6716982308958,19.7406379378903,0.001666677,35.3,69.6827632333161,64.083051997162,22.6704975167047,0.000536047687670186,0.0886405260427917,16.0274818320948,32.5814599065257,16.0580693090621
"74","trim75.5_n2_rd50_pep168_",0.001798778,35.325,65.0673248922244,50.6622445558527,19.7344004615732,0.001645221,35.3,69.6489183619497,64.0733059404165,22.6599717754197,0.000468020908314087,0.0886405260427917,16.0574473506583,32.5844584641223,16.0544053805757
"75","trim75.5_n2_rd50_pep50_",0.001846299625,35.325,65.1175052239454,50.6716982308958,19.7406379378903,0.001666677,35.3,69.6827632333161,64.083051997162,22.6704975167047,0.000536047687670186,0.0886405260427917,16.0274818320948,32.5814599065257,16.0580693090621
"76","trim75.5_n3_rd0_pep168_",0.00188473875,35.325,65.1641385436607,50.691482726089,19.7480449410169,0.001691059,35.3,69.7236041011012,64.0974761611452,22.6790740466407,0.000579267451694626,0.0886405260427917,16.0076836169228,32.5748929037629,16.0623064462581
"77","trim75.5_n3_rd0_pep50_",0.001895408,35.325,65.1729342450978,50.6926522528985,19.7488246255565,0.0016965495,35.3,69.7305038706995,64.097866003415,22.68063341572,0.000592964303200213,0.0886405260427917,16.0035231441237,32.5748212514855,16.0628770371223
"78","trim75.5_n3_rd50_pep168_",0.00188473875,35.325,65.1641385436607,50.691482726089,19.7480449410169,0.001691059,35.3,69.7236041011012,64.0974761611452,22.6790740466407,0.000579267451694626,0.0886405260427917,16.0076836169228,32.5748929037629,16.0623064462581
"79","trim75.5_n3_rd50_pep50_",0.001895408,35.325,65.1729342450978,50.6926522528985,19.7488246255565,0.0016965495,35.3,69.7305038706995,64.097866003415,22.68063341572,0.000592964303200213,0.0886405260427917,16.0035231441237,32.5748212514855,16.0628770371223
